"","x"
"1461",112566.539578515
"1462",157934.331053313
"1463",186316.55436509
"1464",196415.609062569
"1465",206098.405730222
"1466",170387.870110661
"1467",174477.595388815
"1468",156801.696289738
"1469",212062.471903612
"1470",115962.357032964
"1471",155440.755358515
"1472",97964.6282653541
"1473",93164.5826189421
"1474",145923.426100175
"1475",106202.506594461
"1476",375411.942213811
"1477",261513.859622751
"1478",311486.454847041
"1479",304212.665572913
"1480",483806.802374952
"1481",309010.143153232
"1482",204609.954423679
"1483",176202.484712832
"1484",161824.371683529
"1485",178341.354013913
"1486",188408.728409888
"1487",336576.502701225
"1488",224878.855878205
"1489",202746.10785508
"1490",256282.727083116
"1491",201679.397585758
"1492",103975.258633272
"1493",187775.718531616
"1494",304547.925387002
"1495",288656.975770708
"1496",244431.358766141
"1497",175367.652780939
"1498",176968.966275441
"1499",164315.72173998
"1500",149563.799090392
"1501",195348.600861936
"1502",132201.288936345
"1503",359773.24325214
"1504",233232.330288118
"1505",223802.339820394
"1506",192064.849359957
"1507",256937.648134775
"1508",196533.493449794
"1509",154697.427434128
"1510",143552.836120861
"1511",161176.444489443
"1512",174266.46728166
"1513",151915.517768075
"1514",168704.342958088
"1515",208732.879630002
"1516",151758.660042274
"1517",183153.279080621
"1518",122331.806783375
"1519",220728.103772878
"1520",118822.56747935
"1521",133418.807467573
"1522",188836.967031614
"1523",112497.295682528
"1524",124530.385565957
"1525",114617.251872954
"1526",103864.015884067
"1527",103182.523482991
"1528",129937.905176719
"1529",160918.430394507
"1530",210833.554708513
"1531",131327.736170545
"1532",92496.992871872
"1533",165237.330845276
"1534",127955.505790807
"1535",150239.857706469
"1536",92360.967556086
"1537",45505.1455900609
"1538",152048.945389095
"1539",206647.000053869
"1540",118038.8815121
"1541",141061.307728706
"1542",167009.05308503
"1543",187545.024085378
"1544",75653.585209869
"1545",120533.249314917
"1546",138163.01983567
"1547",137243.477260687
"1548",151657.104829934
"1549",126410.22239963
"1550",143857.875275395
"1551",103639.610198831
"1552",153979.816032637
"1553",157905.033798422
"1554",113563.150208857
"1555",157438.075932013
"1556",52207.0394623993
"1557",140315.612931022
"1558",106044.58719968
"1559",60810.9803168166
"1560",115884.502953985
"1561",150753.864992927
"1562",131591.38413818
"1563",128986.060371366
"1564",162692.561991745
"1565",158191.319365735
"1566",228623.600853624
"1567",72021.1799874968
"1568",220179.169702444
"1569",134227.079240903
"1570",126106.868928585
"1571",82768.2639561972
"1572",150066.92479571
"1573",267796.836480082
"1574",135728.844995242
"1575",232350.749605354
"1576",228698.670685528
"1577",182099.574714152
"1578",156745.641869283
"1579",133193.150633084
"1580",189587.830022183
"1581",152793.939694624
"1582",134621.396620742
"1583",281000.370061925
"1584",219945.413467961
"1585",133350.79881012
"1586",77598.3906600203
"1587",106374.918589831
"1588",152820.210245276
"1589",105721.274016454
"1590",122484.447968174
"1591",89881.4824103861
"1592",125602.715461885
"1593",128228.815275765
"1594",143381.155485561
"1595",117335.88083727
"1596",228832.166157242
"1597",210560.33614942
"1598",212214.777241864
"1599",193830.132152958
"1600",171479.584664251
"1601",50721.1173270713
"1602",129597.527747107
"1603",38328.7072826046
"1604",272491.926224706
"1605",223693.517574374
"1606",147241.468206678
"1607",167988.898533652
"1608",199389.583145396
"1609",189839.008789401
"1610",151109.864041591
"1611",127365.013657429
"1612",186473.929023122
"1613",163945.263039698
"1614",137129.20331123
"1615",95202.4004298336
"1616",74709.7690470532
"1617",84720.5433400524
"1618",136180.042594748
"1619",144136.761918478
"1620",187521.043317628
"1621",130726.560997913
"1622",151130.550511765
"1623",254371.560733729
"1624",198581.655762696
"1625",115491.131195119
"1626",166786.563769987
"1627",190413.897294999
"1628",275936.730149651
"1629",178057.676101187
"1630",366118.434989808
"1631",253844.140013125
"1632",250603.408234801
"1633",171912.345769564
"1634",181252.546797698
"1635",169488.248441617
"1636",145179.690101519
"1637",200183.891755166
"1638",178944.746178699
"1639",182105.811713727
"1640",236707.526896552
"1641",182267.477610937
"1642",250906.901269788
"1643",218489.746562384
"1644",237000.665170735
"1645",216539.387267943
"1646",155398.568762533
"1647",154706.605625571
"1648",127809.058844969
"1649",125763.243499668
"1650",105450.598907184
"1651",112259.129260275
"1652",98259.5833629476
"1653",94209.316035506
"1654",145111.57443154
"1655",120527.002382792
"1656",140896.102051831
"1657",154720.710509929
"1658",146139.389555646
"1659",126690.109992838
"1660",149952.63268229
"1661",438416.687351609
"1662",385764.998482365
"1663",386873.123971136
"1664",534110.451567068
"1665",333449.506388043
"1666",322800.098336505
"1667",379371.397627324
"1668",361212.917397056
"1669",319064.908693578
"1670",363007.607590516
"1671",268852.843039344
"1672",407629.280647889
"1673",289000.359689027
"1674",246088.371840058
"1675",202970.323896948
"1676",206579.76390483
"1677",215347.251548267
"1678",473461.657666244
"1679",387351.314169191
"1680",342427.838821289
"1681",281144.176354707
"1682",319583.750599641
"1683",191254.599808842
"1684",168897.535796343
"1685",169391.195917308
"1686",161014.594438961
"1687",161721.920878085
"1688",180622.018427586
"1689",185149.297361058
"1690",187310.82281
"1691",175962.189424215
"1692",258384.651610239
"1693",170016.084865199
"1694",181617.660366218
"1695",167863.974607427
"1696",262698.43036306
"1697",176459.62856583
"1698",340209.051564358
"1699",333194.910668015
"1700",272259.963549026
"1701",280312.734103938
"1702",235766.142753442
"1703",227891.925925853
"1704",268613.933920563
"1705",241031.395202057
"1706",193935.53952779
"1707",229326.748587671
"1708",202962.039559236
"1709",246544.116183619
"1710",219914.773756361
"1711",267934.188350096
"1712",253657.940057767
"1713",281659.893982836
"1714",228032.822300664
"1715",208580.23688733
"1716",186787.06841162
"1717",174910.642177465
"1718",151532.113507179
"1719",226070.724192769
"1720",253504.126684572
"1721",147093.21031477
"1722",115618.580575199
"1723",149753.191850505
"1724",219139.970959102
"1725",241988.8600039
"1726",186579.982284355
"1727",151503.78494205
"1728",153705.424466581
"1729",173742.910549741
"1730",167543.402101687
"1731",109704.845139471
"1732",132673.445538573
"1733",116670.701178759
"1734",122170.316250279
"1735",90202.4053560219
"1736",93988.9360006709
"1737",285144.839789632
"1738",265388.383197674
"1739",246476.180218053
"1740",218084.509695334
"1741",190318.988741446
"1742",178261.656170779
"1743",169880.880278074
"1744",364181.750709593
"1745",220954.714389614
"1746",193067.461521095
"1747",221491.3595544
"1748",225522.662101409
"1749",134122.052226991
"1750",133741.819458979
"1751",231969.333133183
"1752",106280.670808734
"1753",156546.622146809
"1754",196065.2793194
"1755",170305.80333215
"1756",143145.274700253
"1757",118693.000808317
"1758",145676.224624157
"1759",160593.751802646
"1760",160766.280265998
"1761",152461.788141809
"1762",186148.806628048
"1763",186480.684851686
"1764",115648.87253959
"1765",185784.303698524
"1766",185499.939338194
"1767",226740.853104244
"1768",139677.711374925
"1769",161639.758676966
"1770",147236.833039127
"1771",121404.557129246
"1772",131949.708279367
"1773",108657.836889704
"1774",154905.234821354
"1775",140134.853254873
"1776",131935.912793206
"1777",108984.307421378
"1778",146093.748308056
"1779",136988.038412829
"1780",154346.894041138
"1781",126547.850407403
"1782",74766.4323607682
"1783",142950.527971801
"1784",95397.0007067661
"1785",139563.587202273
"1786",107157.943592307
"1787",148177.066324067
"1788",50949.3346428896
"1789",103554.237859715
"1790",65741.2110767608
"1791",199468.0577976
"1792",167290.01679706
"1793",138966.929434563
"1794",162455.148900457
"1795",134091.173559037
"1796",134100.563117708
"1797",119094.444468651
"1798",122827.241265869
"1799",99326.099475551
"1800",124133.170840211
"1801",124209.515465364
"1802",103639.147982584
"1803",160346.343724483
"1804",121095.641069968
"1805",128972.288548091
"1806",129487.379212092
"1807",143181.563110787
"1808",118742.216968328
"1809",133820.521738151
"1810",141258.873040571
"1811",156108.074223631
"1812",113159.601660065
"1813",145459.672368292
"1814",98189.7921349718
"1815",51972.6943007881
"1816",99675.5365250065
"1817",105671.705489277
"1818",166807.561493383
"1819",138581.451803427
"1820",31060.9171259011
"1821",103819.486586203
"1822",152369.785850627
"1823",29030.8068695621
"1824",129051.307177084
"1825",148795.696233609
"1826",101367.91336727
"1827",106445.971548419
"1828",142066.360839628
